IATA,ID,CITY_NAME,STATE_NAME,label,region
ONP,13890,"Newport, OR",Oregon,"ONP - Newport, OR",Northwest
ONT,13891,"Ontario, CA",California,"ONT - Ontario, CA",Pacific
ORD,13930,"Chicago, IL",Illinois,"ORD - Chicago, IL",Midwest
ORF,13931,"Norfolk, VA",Virginia,"ORF - Norfolk, VA",Northeast
OTH,13964,"North Bend/Coos Bay, OR",Oregon,"OTH - North Bend/Coos Bay, OR",Northwest
PBG,14025,"Plattsburgh, NY",New York,"PBG - Plattsburgh, NY",Northeast
PBI,14027,"West Palm Beach/Palm Beach, FL",Florida,"PBI - West Palm Beach/Palm Beach, FL",Southeast
PDT,14054,"Pendleton, OR",Oregon,"PDT - Pendleton, OR",Northwest
PDX,14057,"Portland, OR",Oregon,"PDX - Portland, OR",Northwest
PHL,14100,"Philadelphia, PA",Pennsylvania,"PHL - Philadelphia, PA",Northeast
PHX,14107,"Phoenix, AZ",Arizona,"PHX - Phoenix, AZ",Southwest
PIH,14113,"Pocatello, ID",Idaho,"PIH - Pocatello, ID",Northwest
PIR,14120,"Pierre, SD",South Dakota,"PIR - Pierre, SD",Midwest
PIT,14122,"Pittsburgh, PA",Pennsylvania,"PIT - Pittsburgh, PA",Northeast
PLN,14150,"Pellston, MI",Michigan,"PLN - Pellston, MI",Midwest
PQI,14231,"Presque Isle/Houlton, ME",Maine,"PQI - Presque Isle/Houlton, ME",Northeast
PSC,14252,"Pasco/Kennewick/Richland, WA",Washington,"PSC - Pasco/Kennewick/Richland, WA",Northwest
PVD,14307,"Providence, RI",Rhode Island,"PVD - Providence, RI",Northeast
PWM,14321,"Portland, ME",Maine,"PWM - Portland, ME",Northeast
RAP,14457,"Rapid City, SD",South Dakota,"RAP - Rapid City, SD",Midwest
RBG,14467,"Roseburg, OR",Oregon,"RBG - Roseburg, OR",Northwest
RDD,14487,"Redding, CA",California,"RDD - Redding, CA",Pacific
RDM,14489,"Bend/Redmond, OR",Oregon,"RDM - Bend/Redmond, OR",Northwest
RDU,14492,"Raleigh/Durham, NC",North Carolina,"RDU - Raleigh/Durham, NC",Southeast
RHI,14520,"Rhinelander, WI",Wisconsin,"RHI - Rhinelander, WI",Midwest
RIC,14524,"Richmond, VA",Virginia,"RIC - Richmond, VA",Northeast
RKS,14543,"Rock Springs, WY",Wyoming,"RKS - Rock Springs, WY",Northwest
RNO,14570,"Reno, NV",Nevada,"RNO - Reno, NV",Pacific
ROA,14574,"Roanoke, VA",Virginia,"ROA - Roanoke, VA",Northeast
ROC,14576,"Rochester, NY",New York,"ROC - Rochester, NY",Northeast
ROW,14588,"Roswell, NM",New Mexico,"ROW - Roswell, NM",Southwest
RST,14633,"Rochester, MN",Minnesota,"RST - Rochester, MN",Midwest
RSW,14635,"Fort Myers, FL",Florida,"RSW - Fort Myers, FL",Southeast
SAN,14679,"San Diego, CA",California,"SAN - San Diego, CA",Pacific
SAT,14683,"San Antonio, TX",Texas,"SAT - San Antonio, TX",Southwest
SAV,14685,"Savannah, GA",Georgia,"SAV - Savannah, GA",Southeast
SBA,14689,"Santa Barbara, CA",California,"SBA - Santa Barbara, CA",Pacific
SBN,14696,"South Bend, IN",Indiana,"SBN - South Bend, IN",Midwest
SBP,14698,"San Luis Obispo, CA",California,"SBP - San Luis Obispo, CA",Pacific
SBY,14704,"Salisbury, MD",Maryland,"SBY - Salisbury, MD",Northeast
SCE,14711,"State College, PA",Pennsylvania,"SCE - State College, PA",Northeast
SDF,14730,"Louisville, KY",Kentucky,"SDF - Louisville, KY",Midwest
SEA,14747,"Seattle, WA",Washington,"SEA - Seattle, WA",Northwest
SFO,14771,"San Francisco, CA",California,"SFO - San Francisco, CA",Pacific
SGF,14783,"Springfield, MO",Missouri,"SGF - Springfield, MO",Midwest
SGU,14794,"St. George, UT",Utah,"SGU - St. George, UT",Southwest
SHV,14814,"Shreveport, LA",Louisiana,"SHV - Shreveport, LA",Southeast
SIT,14828,"Sitka, AK",Alaska,"SIT - Sitka, AK",Alaska
SJC,14831,"San Jose, CA",California,"SJC - San Jose, CA",Pacific
SJT,14842,"San Angelo, TX",Texas,"SJT - San Angelo, TX",Southwest
SJU,14843,"San Juan, PR",Puerto Rico,"SJU - San Juan, PR",Southeast
SLC,14869,"Salt Lake City, UT",Utah,"SLC - Salt Lake City, UT",Southwest
SLE,14871,"Salem, OR",Oregon,"SLE - Salem, OR",Northwest
SMF,14893,"Sacramento, CA",California,"SMF - Sacramento, CA",Pacific
SMX,14905,"Santa Maria, CA",California,"SMX - Santa Maria, CA",Pacific
SNA,14908,"Santa Ana, CA",California,"SNA - Santa Ana, CA",Pacific
STL,15016,"St. Louis, MO",Missouri,"STL - St. Louis, MO",Midwest
STT,15024,"Charlotte Amalie, VI",U.S. Virgin Islands,"STT - Charlotte Amalie, VI",Southeast
STX,15027,"Christiansted, VI",U.S. Virgin Islands,"STX - Christiansted, VI",Southeast
SUN,15041,"Sun Valley/Hailey/Ketchum, ID",Idaho,"SUN - Sun Valley/Hailey/Ketchum, ID",Northwest
SWF,15070,"Newburgh/Poughkeepsie, NY",New York,"SWF - Newburgh/Poughkeepsie, NY",Northeast
SYR,15096,"Syracuse, NY",New York,"SYR - Syracuse, NY",Northeast
TLH,15249,"Tallahassee, FL",Florida,"TLH - Tallahassee, FL",Southeast
TPA,15304,"Tampa, FL",Florida,"TPA - Tampa, FL",Southeast
TUL,15370,"Tulsa, OK",Oklahoma,"TUL - Tulsa, OK",Southwest
TUS,15376,"Tucson, AZ",Arizona,"TUS - Tucson, AZ",Southwest
TVC,15380,"Traverse City, MI",Michigan,"TVC - Traverse City, MI",Midwest
TVF,15381,"Thief River Falls, MN",Minnesota,"TVF - Thief River Falls, MN",Midwest
TWF,15389,"Twin Falls, ID",Idaho,"TWF - Twin Falls, ID",Northwest
TYS,15412,"Knoxville, TN",Tennessee,"TYS - Knoxville, TN",Southeast
UKI,15458,"Ukiah, CA",California,"UKI - Ukiah, CA",Pacific
UXK,15525,"Petaluma, CA",California,"UXK - Petaluma, CA",Pacific
VIS,15601,"Visalia, CA",California,"VIS - Visalia, CA",Pacific
YKM,16101,"Yakima, WA",Washington,"YKM - Yakima, WA",Northwest
ANC,10299,"Anchorage, AK",Alaska,"ANC - Anchorage, AK",Alaska
BDL,10529,"Hartford, CT",Connecticut,"BDL - Hartford, CT",Northeast
CVG,11193,"Cincinnati, OH",Kentucky,"CVG - Cincinnati, OH",Midwest
DEN,11292,"Denver, CO",Colorado,"DEN - Denver, CO",Southwest
JFK,12478,"New York, NY",New York,"JFK - New York, NY",Northeast
MCI,13198,"Kansas City, MO",Missouri,"MCI - Kansas City, MO",Midwest
MHR,13295,"Sacramento, CA",California,"MHR - Sacramento, CA",Pacific
