DISTANCE_mean,DISTANCE_sum,FREIGHT_mean,FREIGHT_sum,MAIL_mean,MAIL_sum,PASSENGERS_mean,PASSENGERS_sum,origin_dest,source,target,PASSENGERS_sum_norm,FREIGHT_sum_norm,MAIL_sum_norm,DISTANCE_mean_norm
1650.0,19800.0,37.166666666666664,446.0,0.0,0.0,435.5,5226.0,10140-11278,10140,11278,2.0515030200563276,2.0000199155191516,2.0,5.728813559322035
349.0,24430.0,1446.4285714285713,101250.0,0.02857142857142857,2.0,3096.6857142857143,216768.0,10140-11292,10140,11292,4.136281410556838,2.004521180076474,2.0000011272012834,2.7887005649717516
569.0,17070.0,6866.8,206004.0,0.0,0.0,8484.166666666666,254525.0,10140-11298,10140,11298,4.508382353585304,2.0091988264738165,2.0,3.2858757062146893
160.0,3840.0,33764.416666666664,810346.0,0.0,0.0,0.0,0.0,10140-11413,10140,11413,2.0,2.0361848907679048,2.0,2.361581920903955
833.0,1666.0,0.0,0.0,0.0,0.0,6.5,13.0,10140-11423,10140,11423,2.0001281169653145,2.0,2.0,3.882485875706215
1347.0,10776.0,5.875,47.0,0.0,0.0,27.625,221.0,10140-11433,10140,11433,2.002177988410342,2.000002098720628,2.0,5.04406779661017
1252.0,7512.0,0.0,0.0,0.0,0.0,5.666666666666667,34.0,10140-11481,10140,11481,2.0003350751400526,2.0,2.0,4.829378531073447
223.0,2007.0,14300.444444444445,128704.0,0.0,0.0,27.77777777777778,250.0,10140-11540,10140,11540,2.002463787794505,2.0057471008450616,2.0,2.503954802259887
563.0,2815.0,0.0,0.0,0.0,0.0,145.4,727.0,10140-11563,10140,11563,2.00716469490642,2.0,2.0,3.272316384180791
1805.0,12635.0,49.285714285714285,345.0,0.0,0.0,14.428571428571429,101.0,10140-11618,10140,11618,2.00099537026898,2.0000154055024826,2.0,6.0790960451977405
965.0,965.0,0.0,0.0,0.0,0.0,5.0,5.0,10140-11637,10140,11637,2.0000492757558903,2.0,2.0,4.1807909604519775
744.0,2976.0,0.0,0.0,0.0,0.0,34.25,137.0,10140-11638,10140,11638,2.0013501557113886,2.0,2.0,3.68135593220339
1688.0,10128.0,177.66666666666666,1066.0,0.0,0.0,99.83333333333333,599.0,10140-11697,10140,11697,2.005903235555633,2.0000476007699906,2.0,5.814689265536723
149.0,3576.0,68675.08333333333,1648202.0,0.0,0.0,0.0,0.0,10140-11711,10140,11711,2.0,2.073598202907699,2.0,2.336723163841808
1341.0,2682.0,0.0,0.0,0.0,0.0,1.5,3.0,10140-11721,10140,11721,2.0000295654535343,2.0,2.0,5.030508474576271
791.0,791.0,0.0,0.0,0.0,0.0,150.0,150.0,10140-11775,10140,11775,2.0014782726767026,2.0,2.0,3.7875706214689266
