FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
1920452,South Stream Waterfowl Area,Park,VT,50,Bennington,3,424832N,0731050W,42.808968499999999,-73.180662200000000,,,,,331,1086,Pownal,05/08/2001,
1920460,Stamford Meadows Wildlife Management Area,Park,VT,50,Bennington,3,424905N,0730716W,42.818135699999999,-73.121216099999998,,,,,806,2644,Stamford,05/08/2001,
1920507,Willow Park,Park,VT,50,Bennington,3,425313N,0731354W,42.887022999999999,-73.231775099999993,,,,,257,843,Bennington,05/08/2001,
1920512,Woodford State Park,Park,VT,50,Bennington,3,425315N,0730418W,42.887579700000003,-73.071770599999994,,,,,694,2277,Woodford,05/08/2001,
1920520,Aldis Hill Park,Park,VT,50,Franklin,11,444915N,0730412W,44.820878999999998,-73.070136800000000,,,,,238,781,Saint Albans,05/08/2001,
1920525,Averys Gore State Wildlife Management Area,Park,VT,50,Franklin,11,444843N,0723718W,44.811992199999999,-72.621786900000004,,,,,318,1043,Hazens Notch,05/08/2001,
1920529,Barlow Street Playground,Park,VT,50,Franklin,11,444817N,0730431W,44.804768199999998,-73.075415199999995,,,,,152,499,Saint Albans,05/08/2001,
1920535,Bellevue Hill State Forest Park (historical),Park,VT,50,Franklin,11,Unknown,Unknown,0.000000000000000,0.000000000000000,,,,,,,Unknown,05/08/2001,
1920566,Downtown Richford Historic District,Park,VT,50,Franklin,11,445949N,0724019W,44.996989800000001,-72.672075699999994,,,,,131,430,Richford,05/08/2001,
1920586,Elm Brook State Wildlife Management Area,Park,VT,50,Franklin,11,444610N,0725318W,44.769492900000003,-72.888469099999995,,,,,215,705,Fairfield,05/08/2001,
1920606,Fairfield Swamp State Wildlife Management Area,Park,VT,50,Franklin,11,444815N,0730009W,44.804214100000003,-73.002362500000004,,,,,200,656,Saint Albans,05/08/2001,
1920634,Hard'ack Recreation Area,Park,VT,50,Franklin,11,444903N,0730358W,44.817545899999999,-73.066248200000004,,,,,182,597,Saint Albans,05/08/2001,
1920672,Killkare State Park,Park,VT,50,Franklin,11,444645N,0731057W,44.779211099999998,-73.182633899999999,,,,,33,108,Saint Albans Bay,05/08/2001,
