FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
1917186,Mount Kearsarge State Wildlife Management Area,Park,NH,33,Merrimack,13,432450N,0715058W,43.413964399999998,-71.849525299999996,,,,,288,945,Andover,05/08/2001,
1917189,Murray Hill Summer Home District,Park,NH,33,Merrimack,13,433234N,0714747W,43.542852000000003,-71.796469000000002,,,,,318,1043,Danbury,05/08/2001,
1917199,New Hampshire Hospital Grounds,Park,NH,33,Merrimack,13,431158N,0713238W,43.199525500000000,-71.543960700000000,,,,,97,318,Concord,05/08/2001,
1917236,Odell Park,Park,NH,33,Merrimack,13,432646N,0713901W,43.446187600000002,-71.650354399999998,,,,,89,292,Franklin,05/08/2001,
1917260,Pittsfield Center Historic District,Park,NH,33,Merrimack,13,431815N,0711934W,43.304247199999999,-71.326178600000006,,,,,161,528,Pittsfield,05/08/2001,
1917269,Reed Playground,Park,NH,33,Merrimack,13,431106N,0713131W,43.185081400000001,-71.525348899999997,,,,,72,236,Concord,05/08/2001,
1917273,Rolfe Park,Park,NH,33,Merrimack,13,431637N,0713533W,43.277023900000003,-71.592573999999999,,,,,112,367,Penacook,05/08/2001,
1917274,Rollins State Park,Park,NH,33,Merrimack,13,432045N,0715058W,43.345909700000000,-71.849524900000006,,,,,332,1089,Warner,05/08/2001,
1917296,Sanel Park,Park,NH,33,Merrimack,13,431123N,0713000W,43.189803800000000,-71.500070500000007,,,,,100,328,Concord,05/08/2001,
1917299,Scytheville Park (historical),Park,NH,33,Merrimack,13,Unknown,Unknown,0.000000000000000,0.000000000000000,,,,,,,Unknown,05/08/2001,
1917324,Stark Pond Wildlife Management Area,Park,NH,33,Merrimack,13,430655N,0713903W,43.115359099999999,-71.650907099999998,,,,,114,374,Weare,05/08/2001,
1917325,State House Plaza,Park,NH,33,Merrimack,13,431226N,0713214W,43.207303199999998,-71.537294000000003,,,,,84,276,Concord,05/08/2001,
1917343,Tilton Island Park,Park,NH,33,Merrimack,13,432634N,0713511W,43.442854900000000,-71.586464100000001,,,,,136,446,Northfield,05/08/2001,
1917368,Webster Park,Park,NH,33,Merrimack,13,431044N,0712333W,43.178970800000002,-71.392567700000001,,,,,91,299,Suncook,05/08/2001,
1917380,West Street Playground,Park,NH,33,Merrimack,13,431134N,0713221W,43.192858999999999,-71.539238200000000,,,,,86,282,Concord,05/08/2001,
1917474,Fosket Wildlife Refuge,Park,NH,33,Cheshire,5,424515N,0715928W,42.754252100000002,-71.991190599999996,,,,,357,1171,Peterborough South,05/08/2001,
1917546,Canaan Street Historic District,Park,NH,33,Grafton,9,434003N,0720236W,43.667572000000000,-72.043418599999995,,,,,354,1161,Canaan,05/08/2001,
1917559,Enfield Shaker Historic District,Park,NH,33,Grafton,9,433650N,0720840W,43.613960800000001,-72.144532200000000,,,,,244,801,North Grantham,05/08/2001,
1917560,Enfield Wildlife Management Area,Park,NH,33,Grafton,9,433455N,0720726W,43.582016699999997,-72.123976200000001,,,,,472,1549,Enfield Center,05/08/2001,
1917578,Lyme Common Historic District,Park,NH,33,Grafton,9,434834N,0720924W,43.809514299999996,-72.156755300000000,,,,,162,531,Lyme,05/08/2001,
1917594,Wilder Management Area,Park,NH,33,Grafton,9,434800N,0721113W,43.800069999999998,-72.187033700000001,,,,,120,394,Lyme,05/08/2001,
1917596,Williams Field,Park,NH,33,Grafton,9,433848N,0720037W,43.646739099999998,-72.010362299999997,,,,,292,958,Canaan,05/08/2001,
1917606,Forest Lake State Park,Park,NH,33,Coos,7,442140N,0714133W,44.361171499999998,-71.692586899999995,,,,,482,1581,Bethlehem,05/08/2001,
1917614,Jericho Lake Park,Park,NH,33,Coos,7,442918N,0711543W,44.488390699999997,-71.262022099999996,,,,,460,1509,Mount Crescent,05/08/2001,
1917616,John Wingate Weeks Historic Site,Park,NH,33,Coos,7,442701N,0713414W,44.450336399999998,-71.570639600000007,,,,,612,2008,Lancaster,05/08/2001,
1917622,Pondicherry Wildlife Refuge,Park,NH,33,Coos,7,442240N,0713133W,44.377838500000003,-71.525915200000000,,,,,334,1096,Lancaster,05/08/2001,
1917646,Acworth Town Common,Park,NH,33,Sullivan,19,431306N,0721747W,43.218409399999999,-72.296476100000007,,,,,468,1535,Alstead,05/08/2001,
1917649,Broad Street Park,Park,NH,33,Sullivan,19,432219N,0722013W,43.372017999999997,-72.337033700000006,,,,,170,558,Claremont South,05/08/2001,
1917653,Central Business District Historic District,Park,NH,33,Sullivan,19,432220N,0722013W,43.372295800000003,-72.337033700000006,,,,,169,554,Claremont South,05/08/2001,
1917655,Charlestown Main Street Historic District,Park,NH,33,Sullivan,19,431410N,0722528W,43.236186799999999,-72.424532900000003,,,,,116,381,Bellows Falls,05/08/2001,
1917668,Connecticut River State Park,Park,NH,33,Sullivan,19,431315N,0722458W,43.220909300000002,-72.416199500000005,,,,,276,906,Bellows Falls,05/08/2001,
1917698,Lincoln and Allison Gordon Wildlife Management Area,Park,NH,33,Sullivan,19,432507N,0720358W,43.418685400000001,-72.066196700000006,,,,,344,1129,Sunapee Lake North,05/08/2001,
1917701,Lower Village District,Park,NH,33,Sullivan,19,432227N,0722026W,43.374240299999997,-72.340644900000001,,,,,162,531,Claremont South,05/08/2001,
1917715,Newport Town Common,Park,NH,33,Sullivan,19,431900N,0721028W,43.316741700000001,-72.174531099999996,,,,,279,915,Newport,05/08/2001,
1917737,Spaulding Wildlife Management Area,Park,NH,33,Sullivan,19,431645N,0722227W,43.279241700000000,-72.374255099999999,,,,,319,1047,Claremont South,05/08/2001,
1917749,Tremont Square,Park,NH,33,Sullivan,19,432228N,0722017W,43.374518000000002,-72.338144900000003,,,,,149,489,Claremont South,05/08/2001,
1917756,Washington Common,Park,NH,33,Sullivan,19,431034N,0720548W,43.176188600000003,-72.096750700000001,,,,,452,1483,Washington,05/08/2001,
1917757,Washington Common Historic District,Park,NH,33,Sullivan,19,431034N,0720548W,43.176188600000003,-72.096750700000001,,,,,452,1483,Washington,05/08/2001,
1917770,Alumni Field,Park,NH,33,Cheshire,5,425626N,0721903W,42.940636499999997,-72.317586100000000,,,,,154,505,Keene,05/08/2001,
1917777,Ashuelot River Park,Park,NH,33,Cheshire,5,425702N,0721815W,42.950636299999999,-72.304252500000004,,,,,147,482,Keene,05/08/2001,
1917778,Ashuelot River Park,Park,NH,33,Cheshire,5,425745N,0721813W,42.962580500000001,-72.303697000000000,,,,,147,482,Keene,05/08/2001,
1917783,Beech Hill Preserve,Park,NH,33,Cheshire,5,425541N,0721523W,42.928136600000002,-72.256473900000003,,,,,312,1024,Keene,05/08/2001,
1917795,Central Square,Park,NH,33,Cheshire,5,425601N,0721643W,42.933692000000001,-72.278696499999995,,,,,148,486,Keene,05/08/2001,
1917797,Chesham Village District,Park,NH,33,Cheshire,5,425607N,0720843W,42.935359200000001,-72.145360900000000,,,,,352,1155,Marlborough,05/08/2001,
1917803,Chesterfield Gorge State Park,Park,NH,33,Cheshire,5,425450N,0722428W,42.913970200000001,-72.407865099999995,,,,,217,712,Spofford,05/08/2001,
1917805,Childrens Wood,Park,NH,33,Cheshire,5,425614N,0721547W,42.937303100000001,-72.263140699999994,,,,,198,650,Keene,05/08/2001,
1917818,Drewsville Village Green,Park,NH,33,Cheshire,5,430740N,0722334W,43.127855599999997,-72.392865499999999,,,,,148,486,Bellows Falls,05/08/2001,
1917819,Drummer Hill Preserve,Park,NH,33,Cheshire,5,425726N,0721705W,42.957302800000001,-72.284807799999996,,,,,229,751,Keene,05/08/2001,
1917821,Dublin Lake Historic District,Park,NH,33,Cheshire,5,425420N,0720416W,42.905637900000002,-72.071192999999994,,,,,456,1496,Dublin,05/08/2001,
1917822,Dublin Village Historic District,Park,NH,33,Cheshire,5,425421N,0720335W,42.905915600000000,-72.059803900000006,,,,,435,1427,Dublin,05/08/2001,
1917854,Harrisville Historic District,Park,NH,33,Cheshire,5,425643N,0720538W,42.945359300000000,-72.093971199999999,,,,,398,1306,Dublin,05/08/2001,
1917855,Harrisville Rural District,Park,NH,33,Cheshire,5,425455N,0720223W,42.915360100000001,-72.039803599999999,,,,,327,1073,Dublin,05/08/2001,
1917856,Haven State Park,Park,NH,33,Cheshire,5,425018N,0720305W,42.838416799999997,-72.051469900000001,,,,,377,1237,Monadnock Mountain,05/08/2001,
1917865,Horatio Colony Trust,Park,NH,33,Cheshire,5,425508N,0722013W,42.918970100000003,-72.337030700000000,,,,,338,1109,Keene,05/08/2001,
1917869,Jaffrey Center Historic District,Park,NH,33,Cheshire,5,424942N,0720321W,42.828417000000002,-72.055914500000000,,,,,348,1142,Monadnock Mountain,05/08/2001,
1917878,Joyce Athletic Field,Park,NH,33,Cheshire,5,425525N,0721658W,42.923692199999998,-72.282863199999994,,,,,144,472,Keene,05/08/2001,
1917880,Keene City Park,Park,NH,33,Cheshire,5,425600N,0721550W,42.933414200000001,-72.263974000000005,,,,,173,568,Keene,05/08/2001,
1917890,Keene State College Soccer Field,Park,NH,33,Cheshire,5,425503N,0721651W,42.917581200000001,-72.280918700000001,,,,,144,472,Keene,05/08/2001,
1917891,Ladies Park,Park,NH,33,Cheshire,5,425623N,0721832W,42.939803099999999,-72.308974699999993,,,,,152,499,Keene,05/08/2001,
